,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
108,-119.467049424,36.747539057,193.0,127,39,6665.0,375.0,53.0,322.0,116.0,291.0,291.0,108.0,368.0,68.0,0.0,83.0,195.0,1.0,1.0,193.0,1
110,-119.831785426,36.6378308881,190.0,130,41,6311.0,368.0,52.0,317.0,119.0,282.0,282.0,109.0,250.0,46.0,0.0,83.0,136.0,0.0,0.0,132.0,1
111,-121.22921034,36.299692328,161.0,115,46,4303.0,297.0,49.0,247.0,101.0,216.0,220.0,101.0,362.0,75.0,1.0,90.0,211.0,3.0,3.0,211.0,1
112,-120.335906016,36.4888343037,178.0,133,43,5734.0,349.0,43.0,305.0,101.0,253.0,259.0,101.0,209.0,44.0,0.0,87.0,124.0,1.0,2.0,124.0,1
113,-120.029982111,36.5391363291,188.0,132,42,6094.0,363.0,50.0,314.0,119.0,275.0,275.0,108.0,203.0,39.0,0.0,83.0,110.0,0.0,0.0,108.0,1
114,-119.568906283,36.625563322,193.0,128,40,6548.0,373.0,53.0,320.0,116.0,289.0,289.0,109.0,319.0,62.0,0.0,85.0,174.0,0.0,0.0,174.0,1
115,-119.674817145,36.5736275848,192.0,130,40,6405.0,371.0,52.0,319.0,120.0,285.0,285.0,109.0,256.0,48.0,0.0,84.0,141.0,0.0,0.0,136.0,1
116,-120.162152707,36.4638640754,185.0,133,42,5961.0,359.0,48.0,311.0,106.0,270.0,270.0,106.0,196.0,39.0,0.0,83.0,108.0,0.0,0.0,108.0,1
117,-119.814414705,36.5280117043,190.0,131,41,6280.0,368.0,51.0,317.0,119.0,281.0,281.0,109.0,226.0,43.0,0.0,84.0,124.0,0.0,0.0,119.0,1
118,-121.088717496,36.2522579317,157.0,120,46,4523.0,300.0,41.0,258.0,105.0,217.0,219.0,94.0,399.0,83.0,1.0,90.0,232.0,3.0,3.0,229.0,1
119,-120.283487901,36.4061363672,180.0,133,43,5802.0,352.0,44.0,307.0,102.0,257.0,262.0,102.0,202.0,43.0,0.0,88.0,120.0,0.0,1.0,120.0,1
