pointid,grid_code,POINT_X,POINT_Y
20477,227,-120.113849405,36.3642371051
20479,227,-121.091110068,36.1576798089
21164,227,-120.221070547,36.3191386346
21191,227,-119.59656186,36.4448613115
21240,227,-119.71776513,36.4088197026
21619,227,-119.886912132,36.3338347358
21621,227,-119.295082775,36.4520309624
21655,227,-120.964975471,36.0907127394
21662,227,-120.0037961,36.2894660065
21753,227,-120.178154284,36.2316999457
22627,227,-119.532350234,36.3516690736
22873,227,-119.744085864,36.2945861176
22874,227,-119.399322912,36.3622678107
23246,227,-119.155829524,36.3843464814
23257,227,-120.905960641,36.0084844193
23265,227,-119.857786076,36.215614841
23290,227,-120.050542785,36.1592408541
23303,227,-119.568459998,36.2510272225
23368,227,-119.704115398,36.208981564
23385,227,-119.225897309,36.2763705725
23403,227,-119.900118439,36.1087892951
23410,227,-119.084861549,36.2573180654
23411,227,-119.368606954,36.1969001857
23415,227,-120.032324957,36.0506587597
23452,227,-119.500978463,36.1435867199
23462,227,-119.660373194,36.1014761403
23475,227,-119.233324457,36.1650241039
23483,227,-119.819398919,36.0207527937
23491,227,-119.410341611,36.0587382736
23497,227,-119.222624008,36.0699691226
23498,227,-119.091561017,36.0951065616
23503,227,-119.775923054,35.9251001784
23504,227,-119.655945537,35.9484109777
23515,227,-119.364671777,35.9609925649
23522,227,-119.877983507,35.8461341327
23525,227,-119.164792228,35.9867605905
23531,227,-119.279283717,35.8849969683
23549,227,-119.427209541,35.760853498
23550,227,-119.610851774,35.7225974069
23551,227,-119.178386586,35.809573092
23561,227,-119.769531501,35.6399007338
23563,227,-120.830184472,35.4016926674
23568,227,-119.331516175,35.6778768711
23601,227,-119.555546761,35.5978229739
23859,227,-120.742687699,35.3269986378
23945,227,-120.668452862,35.2491553743
23998,227,-119.596096657,35.4513424035
24000,227,-119.372809117,35.4872179285
24025,227,-119.220126921,35.4250945207
24026,227,-119.40040058,35.3874113975
24037,227,-120.5849014,35.1119940512
24053,227,-119.290596451,35.3081594396
24057,227,-120.466716761,35.0390434984
24062,227,-118.994433279,35.2782304779
24064,227,-120.637399814,34.8891006022
24065,227,-120.396587787,34.9286470191
24085,227,-118.84880421,35.1655004715
24087,227,-120.39572727,34.7527694438
24088,227,-120.600734979,34.6888989977
24093,227,-120.338407955,34.6047103143
